# NORMALIZED relative cost. BASE = Opus 4.8 @ medium = 1.000
# Method: COUPLE-ATOMIC. Each (model,effort) is an indivisible node. NO crossmodel x effort
#   decomposition -- effort is model-coupled (Haiku@max != Opus@max as a multiplier), so
#   separability is a false assumption and is not used.
#   rel_cost(node) = product of MEASURED same-task ratios along the path linking it to the base;
#   several paths -> MEDIAN of the products. Edges = same-task ratios (2 models @same effort,
#   or 2 efforts @same model). CI = spread of the concurrent paths (multiplicative).
#   A node with no measured edge is NOT filled by a generic effort rule: it is either n/a, or
#   flagged 'inferred' with a widened band. One model's effort shape is NEVER a template for another.
# conf: HIGH (>=3 indep same-task paths agree) | MED | LOW/WIDE | INFER (no direct edge, widened).
#
# --- WELL-MEASURED ANCHOR NODES (direct same-task edges to base) ---
# @medium cross-model: fable-5 1.95[1.7-2.1]HIGH | opus-4.8 1.00 | opus-4.7 0.95[0.6-1.4]LOW | sonnet-5 1.05[0.7-1.6]WIDE-tasksize | sonnet-4.6 0.60[0.5-0.75]HIGH | haiku-4.5 0.19[0.11-0.22]HIGH
# opus-4.8 effort sweep (own measured path): low 0.70 | medium 1.00 | high 1.25 | xhigh 1.70 | max 2.30 [osworld/zenn/qiita]
# NB: effort->QUALITY is ~flat/inverted-U on coding (max vs low = +0.3-1.3pp); effort->COST can be NON-MONOTONIC on agentic-with-retries (higher effort sometimes cheaper: HAL).
# NB2: non-Opus cells at non-medium efforts marked INFER below = no published per-model effort sweep;
#   estimate carries the Opus effort *ballpark* only as a prior, with a widened band, NOT as fact.
#
model,effort,rel_cost,ci_low,ci_high,conf,n_src&notes
opus-4.8,low,0.70,0.60,0.80,MED,osworld/zenn/qiita/whitekumalabo effort-sweeps
opus-4.8,medium,1.00,1.00,1.00,ANCHOR,base
opus-4.8,high,1.25,1.15,1.50,MED,osworld/braintrust
opus-4.8,xhigh,1.70,1.50,2.10,MED,osworld/zenn
opus-4.8,max,2.30,1.70,3.20,LOW,osworld-tail wide
opus-4.7,low,0.67,0.45,0.95,LOW,x0.95 crossgen-uncertain
opus-4.7,medium,0.95,0.60,1.40,LOW,4.7vs4.8 mixed(swe-rebench/truefoundry/CEO/FullStack)
opus-4.7,high,1.19,0.75,1.70,LOW,
opus-4.7,xhigh,1.62,1.10,2.30,LOW,
opus-4.7,max,2.19,1.40,3.10,LOW,
fable-5,low,1.37,1.00,1.75,INFER,no fable effort-sweep published; medium anchor x Opus effort prior
fable-5,medium,1.95,1.70,2.10,HIGH,WorkBench/ctala/X-post/HN agree (direct same-task edge)
fable-5,high,2.44,1.90,3.20,INFER,medium anchor x Opus effort prior; widened
fable-5,xhigh,3.32,2.40,4.60,INFER,idem
fable-5,max,4.49,3.20,6.00,MED,path = AA fable/opus4.8 @max x opus4.8 effort(max); measured chain
sonnet-5,low,0.74,0.50,1.15,WIDE,x1.05 tasksize-dependent
sonnet-5,medium,1.05,0.70,1.60,WIDE,small~0.86 long-agentic~1.15-1.6 (aireiter/AA/EMB/zenn)
sonnet-5,high,1.31,0.85,2.00,WIDE,
sonnet-5,xhigh,1.79,1.15,2.70,WIDE,
sonnet-5,max,2.42,1.50,3.80,WIDE,verbosity outlier
sonnet-4.6,low,0.42,0.35,0.52,MED,OSWorld measures 4.6 own low/medium slope (not borrowed)
sonnet-4.6,medium,0.60,0.50,0.75,HIGH,WorkBench0.58/swe-rebench0.64/Braintrust0.62/STAGE0.61 (direct)
sonnet-4.6,high,0.75,0.58,0.98,MED,partial 4.6 high data
sonnet-4.6,max,1.38,1.00,1.90,LOW,no xhigh on 4.6
haiku-4.5,low,0.13,0.08,0.19,INFER,no haiku effort-sweep; medium anchor x Opus effort prior
haiku-4.5,medium,0.19,0.11,0.22,HIGH,WorkBench0.19/ctala0.20/youcanbuild0.20 (direct)
haiku-4.5,high,0.24,0.15,0.31,MED,partial haiku high data
# quality/intelligence axis (Vals-Index, recent, independent of cost) for the graph:
# fable-5 75.1 | opus-4.8 70.4 | sonnet-5 68.6 | opus-4.7 66.1 | sonnet-4.6 60.1 | haiku-4.5 40.9
# AA-Index(max): fable60 opus4.8-56 opus4.7-54 sonnet5-53 sonnet4.6-47
# CRITERIA MODIFIERS (apply on top):
#  task_type: coding/agentic -> effort-quality FLAT (plateau); reasoning-math -> effort PAYS (+9-29%); computer-use -> costs 10-50x higher absolute.
#  complexity: easy -> effort~flat cost; hard -> effort ~2x; harder still -> inverted-U (overthinking hurts).
#  caching: ~90-96% cache-read on agentic; broken cache can 2.7x cross-model cost.
#  harness: can shift score 13pt & tokens >100x (Claude Code vs SWE-agent) - dominant confound.
#  generation: newer Opus more token-efficient (4.8<4.7<4.6 on many); Sonnet5 verbose outlier.
